scan 46 window-unique-games | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 47 window-borsuk-low-dimensions | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 48 window-moore-graph-57 | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 49 window-catalan-constant | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 50 window-bochner-riesz | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 51 window-np-vs-conp | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 52 window-invariant-subspace | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 53 window-sierpinski-smallest | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 54 window-sunflower | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 55 window-schur-s6 | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 56 window-burnside-b25 | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 57 window-singmaster | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 58 window-graph-isomorphism-p | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 6 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 59 window-hadwiger-covering | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 6 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 60 window-tate | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 6 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 61 window-mols-10 | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 6 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 62 window-odd-covering | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 6 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 63 window-p-vs-np | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 6 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 64 window-lychrel-196 | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 6 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 65 three-over-n | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 6 s | CHECKED_RESEARCH proved | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
