scan 48 window-inscribed-square | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 49 window-erdos-ulam | last 4 of 9 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 50 window-invariant-subspace | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 51 window-list-coloring | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 52 window-happy-ending | last 4 of 9 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 53 window-lonely-runner | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 54 window-np-vs-conp | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 55 window-conway-99-graph | last 4 of 9 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 56 window-graceful-tree | last 4 of 9 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 57 window-singmaster | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 58 window-mols-10 | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 59 window-thomson | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 60 window-caccetta-haggkvist | last 4 of 9 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 61 window-erdos-moser | last 4 of 9 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
